Codigo da oferta;Codigo da serie;Emissor;Nome do devedor;Nome de operacao;Emissao;Serie;Data de encerramento da oferta;Status da oferta;Valor total encerrado da serie;TVM;Coordenador lider;Preco unitario;Quantidade total emitida da serie;Valor total emitido da serie;Quantidade total encerrada da serie;Prazo serie;Indexador;Spread;Juros;Periodicidade taxa;Periodicidade pagamento;Data do inicio da rentabilidade;Data de vencimento;Serie senior junior;Setor ANBIMA emissor ou devedor;Segmento ANBIMA emissor ou devedor;Data de emissao;Lei 12431;Artigo da 12431;Garantia;Lastro;Risco de credito
RJ-2016-07894;CRA/2016/023;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;93;03/01/2017;Encerrada;755571000;CRA;Banco itau bba s.a.;1000;755571;755571000;755571;5,1;Percentual DI;;99;Anualmente;Semestralmente;;17/01/2022;;Financeiro;Securitizadoras;15/12/2016;Não se aplica;;Não se aplica;;
RJ-2016-07894;CRA/2016/024;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;94;03/01/2017;Encerrada;494429000;CRA;Banco itau bba s.a.;1000;494429;494429000;494429;7;IPCA;6;;Anualmente;Anualmente;;15/12/2023;;Financeiro;Securitizadoras;15/12/2016;Não se aplica;;Não se aplica;;
RJ-2016-07954;CRI/2016/036;Cibrasec-companhia brasileira de securitizacao;Multiplan empreendimentos imobiliarios s.a.;;2;272;03/01/2017;Encerrada;300000000;CRI;Banco bradesco bbi s.a.;1000;300000;300000000;300000;;Não identificado;;;Não se aplica;Não se aplica;;;Série única;Financeiro;Securitizadoras;;;;Não se aplica;Financiamento Imobiliário;Concentrado
SP-2017-50128;ANBIMA/2017/50128;Lojas riachuelo sa;;;2;1;03/01/2017;Encerrada;300000000;Debêntures;Banco itau bba s.a.;1000;300000;300000000;300000;2;Percentual DI;;112;Anualmente;Não informado;;02/01/2019;Não se aplica;Comércio atacadista e varejista;Varejo de diversos produtos;02/01/2017;Não;;Quirografária com garantia Adicional;;Não se aplica
SP-2017-50128;ANBIMA/2017/50129;Lojas riachuelo sa;;;2;2;03/01/2017;Encerrada;175000000;Debêntures;Banco itau bba s.a.;1000;175000;175000000;175000;2;Percentual DI;;113;Anualmente;Não informado;;02/01/2019;Não se aplica;Comércio atacadista e varejista;Varejo de diversos produtos;02/01/2017;Não;;Quirografária com garantia Adicional;;Não se aplica
SP-2017-00009;ANBIMA/2017/00012;Andrade gutierrez participacoes s/a;;;4;Série Única;06/01/2017;Encerrada;1600000000;Debêntures;Banco bradesco bbi s.a.;1000;1600000;1600000000;1600000;6;Percentual DI;;137;Anualmente;Não informado;;02/01/2023;Não se aplica;Empreendimentos e participações;Outras participações;02/01/2017;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50130;ANBIMA/2017/50130;Prime incorporacoes e construcoes s/a.;;;2;Série Única;06/01/2017;Encerrada;220000000;Debêntures;Banco itau bba s.a.;1000;220000;220000000;220000;0,2;Percentual DI;;108;Anualmente;Não informado;;06/04/2017;Não se aplica;Construção civil;Construtora e incorporadora;06/01/2017;Não;;Quirografária com garantia Adicional;;Não se aplica
SP-2017-50000;ANBIMA/2017/50000;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;106;10/01/2017;Encerrada;13047000;CRA;Spinelli sa corretora de valores mobiliarios e cambio;1000;13047;13047000;13047;0,6;Pré-Fixado;;18;Anualmente;Vencimento;;07/08/2017;;Financeiro;Securitizadoras;22/12/2016;Não se aplica;;Não se aplica;;
SP-2017-50000;ANBIMA/2017/50001;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;107;10/01/2017;Encerrada;1344000;CRA;Spinelli sa corretora de valores mobiliarios e cambio;1000;1344;1344000;1344;0,6;Pré-Fixado;;29;Anualmente;Vencimento;;07/08/2017;;Financeiro;Securitizadoras;22/12/2016;Não se aplica;;Não se aplica;;
SP-2017-50131;ANBIMA/2017/50131;Xnice participacões;;;1;Série Única;10/01/2017;Encerrada;286000000;Debêntures;Gradual corretora de cambio, titulos e valores mobiliarios s/a;1000000;286;286000000;286;15,3;IPCA;10;;Anualmente;Não informado;;30/05/2029;Não se aplica;Empreendimentos e participações;Outras participações;28/02/2014;Não;;Quirografária com garantia Adicional;;Não se aplica
